Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,49.6,77.3,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,90,135.6,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,125,188.5,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,164.8,237.6,table 3,ecm+am
FACTS II,,Aspen/Mapel,,ele,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,213.5,295.2,table 3,ecm+am
GiFACE,,,,,,,,,Lenhart 2008,2005-2007,root biomass,0-45 cm,g/m2,219,269,page 32,am
GiFACE,,,,,,,,,Kammann et al. 2005,1998,annual yield,N/A,g/m2,670,678,fig. 1,am
GiFACE,,,,,,,,,Kammann et al. 2005,1999,annual yield,N/A,g/m2,678,675,fig. 1,am
GiFACE,,,,,,,,,Kammann et al. 2005,2000,annual yield,N/A,g/m2,778,854,fig. 1,am
GiFACE,,,,,,,,,Kammann et al. 2005,2001,annual yield,N/A,g/m2,649,699,fig. 1,am
GiFACE,,,,,,,,,Kammann et al. 2005,2002,annual yield,N/A,g/m2,716,797,fig. 1,am
Hohenheim,,,,,,,,,H_gy et al. 2010,mar. 2004,aboveground biomass,N/A,g/m2,1174,1295,table 1,am
Jasper Ridge,,,,,,sandstone,,,Hungate et al. 1997,May-94,peak biomass (shoot + root),0-15 cm,g/m2,145,201,"fig. 1, pers. comm.",am
Jasper Ridge,,,,,,sandstone,,,Hungate et al. 1997,apr. 1994,peak biomass (shoot + root),0-15 cm,g/m2,242,345,"fig. 1, pers. comm.",am
JRGCE,,,lo,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,889.5,791.7,pers. comm.,am
JRGCE,,,lo,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,774.6,735.6,pers. comm.,am
